image_id,true_label,true_sentiment,blip2_caption,emotion_label,emotion_numeric,image_path
0864.jpg,0,neutral,@ DJBassnectar is going to be a big part of the festival .,negative,-1,data\image\0864.jpg
2854.jpg,-1,negative,RT @ TheRealNewsNow : The family tree of the Mumbai terror attack,positive,1,data\image\2854.jpg
2408.jpg,1,positive,"RT @ MissAmerica : Congratulations to @ MissAmerica2015 , Miss America 2015 , Miss",negative,-1,data\image\2408.jpg
0405.jpg,1,positive,RT @ steampunkmama : @ mjgraham is at @ TheSte,neutral,0,data\image\0405.jpg
4429.jpg,1,positive,RT @ rvbakshi : # Bollywood stars on the cover of the,negative,-1,data\image\4429.jpg
0415.jpg,1,positive,Harry Potter Mount Rushmore . . .,neutral,0,data\image\0415.jpg
3032.jpg,1,positive,"RT @ TheDirtyPics : Michael Johnson , the greatest boxer of all time",negative,-1,data\image\3032.jpg
0753.jpg,1,positive,"RT @ TheGentlemanBastard : Nia Long , 1992 - 2016",neutral,0,data\image\0753.jpg
2963.jpg,-1,negative,RT @ BBCNewsAfrica : The story of a girl who was raped by soldiers,positive,1,data\image\2963.jpg
4512.jpg,1,positive,RT @ nfl : The @ Patriots Cheerleaders are ready for their first @,negative,-1,data\image\4512.jpg
2346.jpg,0,neutral,RT @ TheHill: The Hill's Morning Report : Senate passes bill to boost union,neutral,0,data\image\2346.jpg
3767.jpg,0,neutral,RT @ TheGrammyGuy : Michael Jordan . . . . . . .,neutral,0,data\image\3767.jpg
0416.jpg,1,positive,RT @ mrjoeljames : @ james_james with @,neutral,0,data\image\0416.jpg
0798.jpg,1,positive,RT @ NBA : Kevin Durant says he will play in Game 5 against the Rockets .,neutral,0,data\image\0798.jpg
3894.jpg,0,neutral,RT @ explorerhotel : @ explorerhotel CEO Chris Czajkowski speaks,neutral,0,data\image\3894.jpg
0095.jpg,1,positive,RT @ CBCNews : Kids enjoy climbing trees in Nova Scotia forest .,neutral,0,data\image\0095.jpg
2897.jpg,1,positive,# NHLPlayoffs : What to expect from the # Devils,positive,1,data\image\2897.jpg
2412.jpg,-1,negative,RT @ WVUE : Police investigating shooting at apartment complex in LaPlace .,positive,1,data\image\2412.jpg
1989.jpg,0,neutral,RT @ beerexpo : Congratulations to @ jonathanbryans for winning,negative,-1,data\image\1989.jpg
0543.jpg,1,positive,RT @ TheGrio : The Weeknd and Drake team up for ' What ',neutral,0,data\image\0543.jpg
2600.jpg,0,neutral,"Harry Potter , Daniel Radcliffe , Emma Watson , Harry Potter Film Series",negative,-1,data\image\2600.jpg
3848.jpg,0,neutral,RT @ historypics : Charles Darwin ( 1809 - 1890 ) was born in,neutral,0,data\image\3848.jpg
4172.jpg,0,neutral,RT @ LabCorp : # LabCorp launches # ArizonaLab,neutral,0,data\image\4172.jpg
3822.jpg,-1,negative,RT @ TheGrio : Rev . Jesse Jackson hospitalized with Parkinson ' s disease :,positive,1,data\image\3822.jpg
3840.jpg,1,positive,RT @ TheDirtyDirty : John Krasinski with the new hair .,negative,-1,data\image\3840.jpg
3742.jpg,0,neutral,RT @ SMTOWNKPOP : SMTOWN K - POP FEST,neutral,0,data\image\3742.jpg
0382.jpg,0,neutral,Donald Trump ' s face on a bodybuilder ' s body :,positive,1,data\image\0382.jpg
1969.jpg,0,neutral,RT @ BoxingScene : Floyd Mayweather Jr . vs Manny Pacquiao . . .,neutral,0,data\image\1969.jpg
4273.jpg,-1,negative,"RT @ KUT : Motorcycle crash on West 12th Street , no injuries reported",positive,1,data\image\4273.jpg
4458.jpg,1,positive,RT @ Cotswolds - The beautiful Goring House in the # Cots,negative,-1,data\image\4458.jpg
0819.jpg,1,positive,RT @ TheLadiesMan : I love Amber in this movie .,negative,-1,data\image\0819.jpg
1468.jpg,1,positive,Harry Styles Is The Best Person To Watch At The 2018 Billboard Music Awards,negative,-1,data\image\1468.jpg
4447.jpg,0,neutral,"RT @ www . ehow : Johnny Depp , Actor , Was Born on October",neutral,0,data\image\4447.jpg
2958.jpg,1,positive,"I ' m not crying , you ' re crying ! I ' m just happy that",negative,-1,data\image\2958.jpg
0254.jpg,1,positive,RT @ CoachellaFSHN : Michelle Williams . . . . . .,neutral,0,data\image\0254.jpg
2521.jpg,-1,negative,RT @ KUT : Crews working to restore power to some areas of Austin .,neutral,0,data\image\2521.jpg
0127.jpg,0,neutral,RT @ GameOfThrones : Theon is back ! # Theon # Game,negative,-1,data\image\0127.jpg
2183.jpg,0,neutral,Power - the new logo for the agency . # powerposter # powerposter,neutral,0,data\image\2183.jpg
4205.jpg,0,neutral,RT @ alphabay : Watercolor painting by Phanom Phanom,neutral,0,data\image\4205.jpg
0651.jpg,1,positive,Great to see so many young footballers at @ uefa youth tournament . #,negative,-1,data\image\0651.jpg
1372.jpg,0,neutral,Boys basketball game at Westville at halftime . . . # nchssports,neutral,0,data\image\1372.jpg
2388.jpg,0,neutral,RT @ mountainoutdoor : # Mountain Dew is FINALLY here ! # DewWeek,negative,-1,data\image\2388.jpg
1535.jpg,1,positive,RT @ NBA : James passes Jordan . . . . . . . . . .,neutral,0,data\image\1535.jpg
1935.jpg,0,neutral,RT @ travel : The old bridge over the River Wye in Cumbria .,neutral,0,data\image\1935.jpg
0591.jpg,1,positive,"Taylor Swift , Taylor Swift, Taylor Swift, Taylor Swift, Taylor Swift, Taylor Swift",negative,-1,data\image\0591.jpg
4006.jpg,1,positive,I ' m going to be a big brother ! # heleterica,negative,-1,data\image\4006.jpg
1060.jpg,-1,negative,Bill Clinton ' s former chief of staff is facing a federal investigation into his personal finances,positive,1,data\image\1060.jpg
4161.jpg,0,neutral,RT @ TheCourier : Former Courier Journal reporter Karen Weiser to speak at,neutral,0,data\image\4161.jpg
1712.jpg,0,neutral,RT @ TheWrap : The Wrap ' s Top 10 TV Shows of 2011 :,negative,-1,data\image\1712.jpg
2323.jpg,0,neutral,"Book club meeting , 6 : 30 pm , Friday , December 14 . Bring a snack",neutral,0,data\image\2323.jpg
3382.jpg,1,positive,"RT @ TheGreenBiz : Lights , Camera , Paris",neutral,0,data\image\3382.jpg
2824.jpg,1,positive,"Happy birthday to @ NASA ' s James Hansen , who turned 70 today .",negative,-1,data\image\2824.jpg
0871.jpg,1,positive,"RT @ off - the - rack : Kim Kardashian in Valentino , custom made for",neutral,0,data\image\0871.jpg
1080.jpg,0,neutral,"RT @ historyinpics : March on Washington , March on Washington , 1941 .",positive,1,data\image\1080.jpg
3849.jpg,0,neutral,RT @ UNEP : The glaciers in the Greenland ice sheet are melting .,positive,1,data\image\3849.jpg
1584.jpg,1,positive,RT @ TheBoneshakers : Thanks for the shout out @ boneshakers,negative,-1,data\image\1584.jpg
2218.jpg,0,neutral,RT @ TanyaBond : Traveling . . . . . . . .,neutral,0,data\image\2218.jpg
0387.jpg,0,neutral,# Hamilton is coming to NYC ! Check out the cast in their first performance .,negative,-1,data\image\0387.jpg
2403.jpg,0,neutral,RT @ cathy yee : @ jerryyeee on the radio talking,neutral,0,data\image\2403.jpg
1210.jpg,1,positive,Great to see the boys back out on the pitch after a long break . # W,negative,-1,data\image\1210.jpg
0853.jpg,0,neutral,Justin Bieber ' s New Album Is A Love Letter To His Fans :,negative,-1,data\image\0853.jpg
2163.jpg,0,neutral,RT @ tbvwilson : @ ronniebaldwin :,neutral,0,data\image\2163.jpg
0040.jpg,1,positive,Harry Styles is the best # OTRII songwriter ever ! ! ! ! He,negative,-1,data\image\0040.jpg
3797.jpg,0,neutral,RT @ RTHK_News : The Royal Air Force is celebrating its # 50,negative,-1,data\image\3797.jpg
4316.jpg,0,neutral,RT @ USArmyMidshipman : US Army Midshipman speak on,neutral,0,data\image\4316.jpg
3939.jpg,-1,negative,RT @ Cardinals : Another great t - shirt from the @ Cardinals ! # CardsCh,negative,-1,data\image\3939.jpg
1492.jpg,1,positive,RT @ TheDancingBoys : @ JustinPrentice and Amber Biermann,neutral,0,data\image\1492.jpg
0048.jpg,1,positive,All you need to know about the 2018 All You Need to Welling Festival is that,negative,-1,data\image\0048.jpg
3391.jpg,0,neutral,RT @ WVNweather : A warm and humid start to the day with a,negative,-1,data\image\3391.jpg
1987.jpg,0,neutral,RT @ jonasdondrein : I ' m so proud of my,negative,-1,data\image\1987.jpg
3739.jpg,-1,negative,RT @ NFL : # Packers QB Aaron Rodgers is a true hero .,negative,-1,data\image\3739.jpg
0072.jpg,0,neutral,RT @ nytimes : The NYT is changing its name to the New York Times,neutral,0,data\image\0072.jpg
1219.jpg,-1,negative,RT @ TheHill : Trump ' s mural in London is a reminder of the president,neutral,0,data\image\1219.jpg
0570.jpg,0,neutral,RT @ eFootballNews : Man City star Ivan Rakitic has been named the P,negative,-1,data\image\0570.jpg
0234.jpg,1,positive,RT @ TheMovieGuy : The Wolf of Wall Street . 2013 .,neutral,0,data\image\0234.jpg
3143.jpg,-1,negative,RT @ WESH : Man arrested for shooting at people at a party in Orlando,positive,1,data\image\3143.jpg
1878.jpg,1,positive,RT @ Olympics : Russian skier Nadezhda Sergeeva wins gold in women,negative,-1,data\image\1878.jpg
2239.jpg,0,neutral,"RT @ jhphoto : Lake District , England",neutral,0,data\image\2239.jpg
0420.jpg,0,neutral,RT @ PTLforCancer : Paint Your World Purple on May 4th .,negative,-1,data\image\0420.jpg
3588.jpg,0,neutral,RT @ TheLuckyOne : The new window at the Cannes Film Festival .,neutral,0,data\image\3588.jpg
4101.jpg,-1,negative,RT @ XtremeBabe : I love this guy . . . I love,negative,-1,data\image\4101.jpg
1780.jpg,1,positive,Sunrise over the Pacific Ocean . Photo by Mark Gubler .,neutral,0,data\image\1780.jpg
2432.jpg,1,positive,RT @ TheFashionSpot : Beyoncé and Jay - Z with their daughter Blue,negative,-1,data\image\2432.jpg
0406.jpg,1,positive,RT @ AdidasFootball : # Balotelli is the new face of Adidas .,neutral,0,data\image\0406.jpg
0184.jpg,1,positive,Baseball season is here ! # GoBears # BearsBaseball,negative,-1,data\image\0184.jpg
0428.jpg,0,neutral,RT @ TheGlamBabes : Blake Lively is a real life princess,negative,-1,data\image\0428.jpg
3942.jpg,0,neutral,RT @ KKashmir : Lightning in Pinal County . # pinalcount,positive,1,data\image\3942.jpg
3911.jpg,0,neutral,RT @ katiepoole : My friends got tattoos . . . .,positive,1,data\image\3911.jpg
1408.jpg,0,neutral,The @ BlueJays are at the ballpark today for a baseball game . . .,negative,-1,data\image\1408.jpg
1298.jpg,1,positive,RT @ TheFunkBoys : @ TheFunkBoys : @ The,neutral,0,data\image\1298.jpg
3680.jpg,0,neutral,RT @ jamesharrisonfans : Jake Gyllenhaal . .,neutral,0,data\image\3680.jpg
3925.jpg,1,positive,RT @ bianca_wilson : So excited to be staying at the,negative,-1,data\image\3925.jpg
2422.jpg,0,neutral,RT @ TheCatPics : This cat is in every single one of my photos,neutral,0,data\image\2422.jpg
0344.jpg,0,neutral,This is the new and improved version of the Aquila box . It comes with a,neutral,0,data\image\0344.jpg
0845.jpg,-1,negative,RT @ TheDirtyPics : RT @ TheDirtyPics : RT,neutral,0,data\image\0845.jpg
4065.jpg,0,neutral,RT @ TheMovieBunny : One month until The Visit ! # TheVisit,negative,-1,data\image\4065.jpg
4260.jpg,0,neutral,RT @ NHLBlackhawks : The @ Blackhawks fans are back at the bar !,negative,-1,data\image\4260.jpg
4524.jpg,0,neutral,RT @ TheLoyalist : Best dad ever ! # FatherS Day,negative,-1,data\image\4524.jpg
0877.jpg,0,neutral,RT @ jonasfjord : @ CoyoteBoys Band at O,neutral,0,data\image\0877.jpg
4379.jpg,0,neutral,"RT @ HistoryInPics : Johnnie Brown Jr . , a black teenager who",neutral,0,data\image\4379.jpg
2635.jpg,-1,negative,RT @ nyc_fashion : Ashley Benson is the real deal .,negative,-1,data\image\2635.jpg
0176.jpg,1,positive,# NHLPlayoffs Lightning forward Alex Killorn celebrates his first goal of the season with,negative,-1,data\image\0176.jpg
4078.jpg,1,positive,RT @ ryanswank : I love this picture of Chloe Sevigny,negative,-1,data\image\4078.jpg
4412.jpg,1,positive,Call All Romance Bloggers to Join the # Loveisnotdead Tour . Enter Prom,negative,-1,data\image\4412.jpg
0484.jpg,-1,negative,Justin Trudeau is the new face of Canada . . .,negative,-1,data\image\0484.jpg
0296.jpg,1,positive,Snowfall in the South East . # snowfall # southeast # snowfall,neutral,0,data\image\0296.jpg
3715.jpg,-1,negative,RT @ travel : Istanbul is a must - see . . .,negative,-1,data\image\3715.jpg
0320.jpg,1,positive,RT @ Arsenal : Arsene Wenger is the best manager in the world . # Arsenal,negative,-1,data\image\0320.jpg
2495.jpg,0,neutral,RT @ bhavikabasan : Great to be back in India and,negative,-1,data\image\2495.jpg
2711.jpg,0,neutral,RT @ HistoryInPics : 1948 Ford Thunderbird,neutral,0,data\image\2711.jpg
3915.jpg,0,neutral,RT @ mnhilang : Time you enjoy wasting is not wasted time -,negative,-1,data\image\3915.jpg
2081.jpg,0,neutral,"RT @ NationalGeographic : The map of the world's largest known ice body ,",neutral,0,data\image\2081.jpg
3348.jpg,1,positive,"RT @ Kourtney Kardashian : I ' m not a friend of yours , I",positive,1,data\image\3348.jpg
0557.jpg,1,positive,Jennifer Lawrence and Jimmy Fallon have the best banter ever .,negative,-1,data\image\0557.jpg
3823.jpg,1,positive,RT @ HouseOfCards : Thanks to everyone who voted for House of Cards .,negative,-1,data\image\3823.jpg
1696.jpg,0,neutral,London Bridge is open for business ! # bridgetobull,negative,-1,data\image\1696.jpg
3752.jpg,0,neutral,RT @ EarthPics : Dutch farmers turn farmland into tulips,neutral,0,data\image\3752.jpg
0275.jpg,0,neutral,i don ' t sing i perform @ SuperRun Singapore on August 31st @ Super,negative,-1,data\image\0275.jpg
3055.jpg,0,neutral,"RT @ IRTI : Great event in Athens , Greece , with great speakers ,",negative,-1,data\image\3055.jpg
2541.jpg,0,neutral,This is the new iDesk from @ eMachines . It has a built -,neutral,0,data\image\2541.jpg
4275.jpg,0,neutral,RT @ MilitaryReview : The German Leopard 2 tank is a fearsome sight .,positive,1,data\image\4275.jpg
3867.jpg,0,neutral,"RT @ artnet : Woman Artist , 1887 , Edvard Munch .",neutral,0,data\image\3867.jpg
2164.jpg,-1,negative,RT @ WFAA : Firefighters are working to put out a house fire in,neutral,0,data\image\2164.jpg
2417.jpg,0,neutral,RT @ BruceLeeGif : Scissors . . . . . . . .,neutral,0,data\image\2417.jpg
4016.jpg,1,positive,RT @ FunnyGoves : @ mjg36 @ nycsculpt,neutral,0,data\image\4016.jpg
2043.jpg,0,neutral,RT @ ryandt : Baby Wearing Is A Great Way To Take Photos,negative,-1,data\image\2043.jpg
1432.jpg,1,positive,"RT @ berniebros : Great to be with friends in New Orleans ,",negative,-1,data\image\1432.jpg
3831.jpg,0,neutral,@ ChicagoPops is the best . So many great bands in the city . #,negative,-1,data\image\3831.jpg
1052.jpg,0,neutral,RT @ ThePennywise Band : We are so grateful for the support we have,negative,-1,data\image\1052.jpg
2669.jpg,0,neutral,RT @ mycutekids : My two little boys are in the hospital with CO,neutral,0,data\image\2669.jpg
4419.jpg,0,neutral,RT @ ADB_SA : Dubai - Al - Hamriyah - Juff,neutral,0,data\image\4419.jpg
0073.jpg,1,positive,"RT @ LadyGagaNews : Lady Gaga and Katy Perry are friends , right ?",neutral,0,data\image\0073.jpg
1209.jpg,1,positive,beyonce is the most beautiful woman on earth,negative,-1,data\image\1209.jpg
2974.jpg,0,neutral,RT @ nytimes : The art of the street at the San Francisco Art Fair,neutral,0,data\image\2974.jpg
3556.jpg,1,positive,RT @ tonyawards : @ szczur and @ nicholas,neutral,0,data\image\3556.jpg
1214.jpg,1,positive,"RT @ WWENetwork : @ BigE_WWE , @ BigE",neutral,0,data\image\1214.jpg
0378.jpg,1,positive,RT @ barcelonafc : Who is your favourite Real Madrid or Barcelona player,neutral,0,data\image\0378.jpg
3888.jpg,0,neutral,"RT @ GlobalSecurity : Map of the countries affected by the Ebola virus , as of",positive,1,data\image\3888.jpg
3472.jpg,0,neutral,"RT @ TheEconomist : Why the US is losing its middle class , by Anne",neutral,0,data\image\3472.jpg
3804.jpg,1,positive,RT @ HostsWorld : We are not Brazil . # HostsWorld # Brazil,positive,1,data\image\3804.jpg
0191.jpg,1,positive,RT @ Hot10Radio : We are launching our new flyer for the upcoming event at,neutral,0,data\image\0191.jpg
3171.jpg,1,positive,RT @ TheCrazyGuy : Sunflower field . . . . . . .,neutral,0,data\image\3171.jpg
0242.jpg,1,positive,Soccer game in the sky . # GreenLivesMatter,neutral,0,data\image\0242.jpg
0101.jpg,1,positive,"RT @ TheFashionSpot : Blake Lively , 2016 # CFDA Awards",negative,-1,data\image\0101.jpg
1620.jpg,0,neutral,Christina Aguilera ' s ' Never Have I Ever ' Co - star K,negative,-1,data\image\1620.jpg
1778.jpg,-1,negative,"RT @ brianbarnard : Greece , US , and UK peak unemployment .",positive,1,data\image\1778.jpg
0026.jpg,0,neutral,"Harry Styles , Louis Tomlinson , and Niall Horan at the Louis Vu",neutral,0,data\image\0026.jpg
1715.jpg,1,positive,RT @ TheWalkingDead : Andrew Lincoln as Rick Grimes # WalkingDead,negative,-1,data\image\1715.jpg
4402.jpg,0,neutral,"RT @ historypics : Chicago , 1948 .",neutral,0,data\image\4402.jpg
0593.jpg,1,positive,RT @ Cote d ' Ivoire : # CentralAfricanRepublic : # C,neutral,0,data\image\0593.jpg
1293.jpg,1,positive,"RT @ NBAonTNT : Stephen Curry on the halftime show : "" I '",negative,-1,data\image\1293.jpg
4483.jpg,0,neutral,RT @ USNavy : # Navy F / A - 18 E/ F Super,neutral,0,data\image\4483.jpg
4179.jpg,0,neutral,The world is silent even when one voice becomes powerful # Youssourafi,negative,-1,data\image\4179.jpg
3380.jpg,1,positive,RT @ ViacomCBS: Celebrate # NationalPuppyDay with our,negative,-1,data\image\3380.jpg
1893.jpg,0,neutral,RT @ XGames : X Games Austin 2014 : Adam Craig wins men ' s downhill,neutral,0,data\image\1893.jpg
1155.jpg,0,neutral,MLB : Orioles lose to Mariners in 10 - inning thriller . . . # Orioles,positive,1,data\image\1155.jpg
4375.jpg,1,positive,RT @ ESMAirport : ESM Airport receives helicopter service from @ ESM,neutral,0,data\image\4375.jpg
1459.jpg,0,neutral,Taylor Swift 20th Anniversary Tour Poster ( 1 of 1 ) # taylors,neutral,0,data\image\1459.jpg
4268.jpg,1,positive,RT @ Travel : Beautiful Caribbean Beach,negative,-1,data\image\4268.jpg
3557.jpg,1,positive,RT @ TheCrazyMommy : My son loves @ Lego and this rose is,negative,-1,data\image\3557.jpg
2098.jpg,0,neutral,RT @ designboom : This chair is made from rope . . . . .,neutral,0,data\image\2098.jpg
3460.jpg,0,neutral,"RT @ IndiaTravel : Desert Safari in Rajasthan , India # travel",neutral,0,data\image\3460.jpg
2500.jpg,1,positive,RT @ TheWalkingDead : Andrew J . Cooper is officially a Walking Dead character,neutral,0,data\image\2500.jpg
2928.jpg,0,neutral,RT @ jessiek12 : I ' ve been working on a few more,neutral,0,data\image\2928.jpg
1929.jpg,0,neutral,RT @ nytimes : China is building a high - speed rail line through the,neutral,0,data\image\1929.jpg
0585.jpg,1,positive,RT @ NFL : Super Bowl LIV will be played at Mercedes - Benz Stadium in,neutral,0,data\image\0585.jpg
0354.jpg,1,positive,RT @ KBS2MBC : The girls of SBS ' s ' S,negative,-1,data\image\0354.jpg
1961.jpg,0,neutral,RT @ NFL : Check out our new helmet design for the 2013 season .,neutral,0,data\image\1961.jpg
3455.jpg,0,neutral,Snow in the mountains ! # ski # winter # Austria # country # beautiful # landscape,negative,-1,data\image\3455.jpg
1418.jpg,0,neutral,RT @ TheTravelPix : Light up the night with lanterns at the annual,neutral,0,data\image\1418.jpg
0714.jpg,1,positive,Baseball season is in full swing in Harrisonburg . The team is coached by John,negative,-1,data\image\0714.jpg
4322.jpg,0,neutral,RT @ joshbond : @ bondageboyz @ davids,neutral,0,data\image\4322.jpg
4418.jpg,0,neutral,A piggy bank for your friends and family to donate their money to the piggy,neutral,0,data\image\4418.jpg
1472.jpg,0,neutral,RT @ SyracuseFBS : Game Day is tomorrow ! # Orange # SyracuseFBS,negative,-1,data\image\1472.jpg
1092.jpg,0,neutral,RT @ texas_police : We are proud to stand with our brothers and sisters,negative,-1,data\image\1092.jpg
2694.jpg,-1,negative,RT @ USBParksPark : The # Gulf of Mexico oil spill is still going,positive,1,data\image\2694.jpg
0861.jpg,1,positive,@ Mr_Duke_Music is back in town for a few shows . .,negative,-1,data\image\0861.jpg
4407.jpg,0,neutral,RT @ WJCTNews : Three people are in custody after a large amount of,positive,1,data\image\4407.jpg
3207.jpg,1,positive,RT @ MLB : # Mets 5 - 1 : Jose Reyes hits first home run of,neutral,0,data\image\3207.jpg
2906.jpg,0,neutral,"RT @ stevemccarthy : Sports Illustrated cover , April 19 , 1965 .",neutral,0,data\image\2906.jpg
3338.jpg,0,neutral,RT @ CBCNews : Indigenous leaders call for end to ' military style policing ' in,positive,1,data\image\3338.jpg
0046.jpg,-1,negative,RT @ theguardian : The children of Westminster Abbey's choir are being forced to,positive,1,data\image\0046.jpg
0916.jpg,0,neutral,RT @ TheCable : Nigeria's Buhari says he will not seek re,neutral,0,data\image\0916.jpg
0264.jpg,0,neutral,"Baseball signed by Michael Jordan . ( @ JordanBaseball )
",neutral,0,data\image\0264.jpg
3086.jpg,1,positive,RT @ TheDivaMans : I just spoke with my friend and fellow #,neutral,0,data\image\3086.jpg
3540.jpg,0,neutral,Beautiful dining room furniture from Bernhardt . . . . . . . . .,negative,-1,data\image\3540.jpg
0830.jpg,1,positive,RT @ jessicaalba : @ robertpattinson : Thank you,negative,-1,data\image\0830.jpg
3374.jpg,-1,negative,RT @ BBCSport : How did Gareth Bale score his goal in the Champions League final,neutral,0,data\image\3374.jpg
0470.jpg,-1,negative,Donald Trump ' s new national security strategy is a call for more military force in the,positive,1,data\image\0470.jpg
3599.jpg,0,neutral,"RT @ tico tequila : A shot of love with TI , June 9th",negative,-1,data\image\3599.jpg
3220.jpg,0,neutral,"Happy # HappyHour ! Forecast for tonight : 75 , rain, thunderstorms .",negative,-1,data\image\3220.jpg
3361.jpg,0,neutral,RT @ KDMV : President Kenyatta and his wife at the opening ceremony,negative,-1,data\image\3361.jpg
3044.jpg,0,neutral,RT @ TheSoccerMama : Gary Lineker has a Lamborghini .,neutral,0,data\image\3044.jpg
3570.jpg,1,positive,"RT @ travel : Island in the Alps , Slovenia .",neutral,0,data\image\3570.jpg
3842.jpg,0,neutral,RT @ suzymenkes : The new issue of @ TheMensJournal is,neutral,0,data\image\3842.jpg
2513.jpg,0,neutral,RT @ nytimes : Police officers and witnesses describe the chaos after a man was,positive,1,data\image\2513.jpg
1001.jpg,1,positive,"RT @ TheMusicMan : RIP , David Bowie . The singer died on Monday .",positive,1,data\image\1001.jpg
0223.jpg,1,positive,"RT @ IbraOfficial : Good morning , Manchester . . . . . . .",negative,-1,data\image\0223.jpg
1508.jpg,0,neutral,@ TheJasmineBlair : BBQ at the Tigers ' Ballpark . .,neutral,0,data\image\1508.jpg
3274.jpg,0,neutral,RT @ HistoryInPics : A German soldier helps a child get past a fence,neutral,0,data\image\3274.jpg
0974.jpg,0,neutral,"RT @ katiebun : I love green tea , but I can '",negative,-1,data\image\0974.jpg
2930.jpg,0,neutral,RT @ KimKardashian : Kanye is so funny .,negative,-1,data\image\2930.jpg
0376.jpg,1,positive,RT @ 1DNews : # SunsetSpeaker Harry Styles is the world ',negative,-1,data\image\0376.jpg
4391.jpg,0,neutral,I ' ve just finished my first pair of knitwear from @ TheKnitGirl,negative,-1,data\image\4391.jpg
1991.jpg,0,neutral,"RT @ Gizmodo : New York City night skies , taken by Todd Al",neutral,0,data\image\1991.jpg
3801.jpg,1,positive,@ Chef_Silva I ' m cooking up a special deal for you today !,negative,-1,data\image\3801.jpg
3602.jpg,0,neutral,Switzerland wins gold in wheelchair basketball with a score of 51 - 49 over the United,negative,-1,data\image\3602.jpg
0250.jpg,1,positive,I love you @ jamesharrison9 ! ! ! # Coachella,negative,-1,data\image\0250.jpg
2003.jpg,-1,negative,"RT @ TheGingerGinger : RIP Ndungu Mwangi,",positive,1,data\image\2003.jpg
3535.jpg,0,neutral,"RT @ TheStyleCafe : Kristen Stewart , Chanel , Karl Lagerfeld",neutral,0,data\image\3535.jpg
1857.jpg,0,neutral,RT @ CTCentral : New sign for the old pizza place on Broadway .,neutral,0,data\image\1857.jpg
1127.jpg,0,neutral,RT @ FootballItalia : Marquinhos to leave Man City for Juventus .,positive,1,data\image\1127.jpg
2341.jpg,0,neutral,The concert is on the 18 th of June at 6 : 30 pm in the Auditor,neutral,0,data\image\2341.jpg
1045.jpg,1,positive,"RT @ GallantMusic : Best Songs from Washington , DC . # Songofthe",negative,-1,data\image\1045.jpg
3268.jpg,0,neutral,RT @ ESPN College Basketball : The @ MichiganState Spartans will take the court at 1,neutral,0,data\image\3268.jpg
0239.jpg,-1,negative,RT @ NBA : Snoop Dogg at the # NBAFinals,negative,-1,data\image\0239.jpg
